class	verdict	registration_name	image_occurrences	nul_terminated_runs	zh_registers_it	ledger_rows	claimed_rvas
SpecialDisguiseUpdate	REGISTERED	SpecialDisguiseUpdate	1	1	no	2	0x0011CD40 0x0011CDC0
SpecialEnemySenseUpdate	REGISTERED	SpecialEnemySenseUpdate	1	1	no	2	0x0011A500 0x00123D90
SpecialPowerCompletionDie	REGISTERED	SpecialPowerCompletionDie	1	1	yes	2	0x00117AA0 0x001236C0
SpecialPowerCompletionDieModuleData	REGISTERED	SpecialPowerCompletionDie	1	1	yes	1	0x00123430
SpecialPowerCreate	REGISTERED	SpecialPowerCreate	1	1	yes	1	0x0011E780
SpecialPowerModule	REGISTERED	SpecialPowerModule	2	2	no	2	0x00119540 0x00119650
SpectreGunshipDeploymentUpdate	ABSENT	SpectreGunshipDeploymentUpdate	0	0	yes	0	
SpectreGunshipUpdate	ABSENT	SpectreGunshipUpdate	0	0	yes	1	0x006BF1D0
SplitHordeSpecialPower	REGISTERED	SplitHordeSpecialPower	1	1	no	2	0x00121620 0x001216A0
SpyVisionSpecialPower	ABSENT	SpyVisionSpecialPower	0	0	yes	1	0x0011F9C0
SpyVisionUpdate	ABSENT	SpyVisionUpdate	0	0	yes	1	0x001144C0
SpyVisionUpdateModuleData	ABSENT	SpyVisionUpdate	0	0	yes	1	0x00123180
SquishCollide	REGISTERED	SquishCollide	1	1	yes	2	0x0011EBA0 0x00124800
StatusBitsUpgrade	REGISTERED	StatusBitsUpgrade	1	1	yes	2	0x00118020 0x0011D5C0
StealthDetectorUpdate	REGISTERED	StealthDetectorUpdate	2	1	yes	2	0x0011B2F0 0x00126BE0
StealthUpdate	REGISTERED	StealthUpdate	2	2	yes	2	0x0011B3F0 0x0012A680
StealthUpgrade	REGISTERED	StealthUpgrade	1	1	yes	2	0x0011D6C0 0x0012BF00
StickyBombUpdate	ABSENT	StickyBombUpdate	0	0	yes	0	
StopSpecialPower	REGISTERED	StopSpecialPower	1	1	no	2	0x00120E80 0x00120F00
StructureBody	REGISTERED	StructureBody	1	1	yes	2	0x0011F5E0 0x001294A0
StructureCollapseUpdate	REGISTERED	StructureCollapseUpdate	2	1	yes	2	0x0011B630 0x00128B10
StructureToppleUpdate	REGISTERED	StructureToppleUpdate	2	1	yes	2	0x0011B750 0x0012C250
SubObjectsUpgrade	REGISTERED	SubObjectsUpgrade	1	1	yes	2	0x0011D640 0x0012B7F0
SupplyCenterCreate	REGISTERED	SupplyCenterCreate	1	1	yes	1	0x0011E3E0
SupplyCenterDockUpdate	REGISTERED	SupplyCenterDockUpdate	1	1	yes	2	0x0011AF40 0x0011AFC0
SupplyCenterProductionExitUpdate	REGISTERED	SupplyCenterProductionExitUpdate	1	1	yes	2	0x0011B7E0 0x001243A0
SupplyTruckAIUpdate	REGISTERED	SupplyTruckAIUpdate	2	1	yes	2	0x0011B930 0x0011B9B0
SupplyWarehouseCreate	REGISTERED	SupplyWarehouseCreate	1	1	yes	1	0x0011E460
SupplyWarehouseCripplingBehavior	REGISTERED	SupplyWarehouseCripplingBehavior	1	1	yes	2	0x00117170 0x001171F0
SupplyWarehouseDockUpdate	REGISTERED	SupplyWarehouseDockUpdate	2	1	yes	2	0x0011BA40 0x0011BAC0
SwayClientUpdate	REGISTERED	SwayClientUpdate	2	1	yes	1	0x00121AF0
TaintSpecialPower	REGISTERED	TaintSpecialPower	1	1	no	2	0x00120700 0x00120780
TechBuildingBehavior	ABSENT	TechBuildingBehavior	0	0	yes	0	
TemporarilyDefectUpdate	REGISTERED	TemporarilyDefectUpdate	1	1	no	2	0x001220C0 0x00124C20
TensileFormationUpdate	ABSENT	TensileFormationUpdate	0	0	yes	1	0x0011E880
ToggleHiddenSpecialAbilityUpdate	REGISTERED	ToggleHiddenSpecialAbilityUpdate	1	1	no	2	0x0011C9E0 0x0011CA60
ToggleMountedSpecialAbilityUpdate	REGISTERED	ToggleMountedSpecialAbilityUpdate	1	1	no	2	0x0011C890 0x0011C910
TooltipUpgrade	REGISTERED	TooltipUpgrade	1	1	no	2	0x0011E030 0x0012BC30
ToppleUpdate	REGISTERED	ToppleUpdate	3	2	yes	2	0x0011BB50 0x0011BBD0
TransitionDamageFX	REGISTERED	TransitionDamageFX	3	1	yes	1	0x00124770
TransitionDamageFXModuleData	REGISTERED	TransitionDamageFX	3	1	yes	1	0x00124740
TransportAIUpdate	REGISTERED	TransportAIUpdate	3	2	yes	2	0x00116860 0x0011BD80
TransportContain	REGISTERED	TransportContain	4	2	yes	2	0x00115C50 0x00125470
TunnelContain	REGISTERED	TunnelContain	2	1	yes	2	0x00116470 0x00116530
UndeadBody	ABSENT	UndeadBody	0	0	yes	1	0x00114D70
UnitCrateCollide	REGISTERED	UnitCrateCollide	1	1	yes	2	0x0011F030 0x00125F10
UnpauseSpecialPowerUpgrade	REGISTERED	UnpauseSpecialPowerUpgrade	1	1	yes	2	0x0011D740 0x0011D7C0
UpdateModule	UNREGISTERED_NAMED	UpdateModule	135	5	no	1	0x00124080
UpgradeDie	REGISTERED	UpgradeDie	1	1	yes	2	0x00117B40 0x00125710
UpgradeDieModuleData	REGISTERED	UpgradeDie	1	1	yes	1	0x00123560
UpgradeModule	UNREGISTERED_NAMED	UpgradeModule	1	1	no	1	0x00128DA0
UpgradeSoundSelectorClientBehavior	REGISTERED	UpgradeSoundSelectorClientBehavior	1	1	no	2	0x00121ED0 0x00124B30
VeterancyCrateCollide	REGISTERED	VeterancyCrateCollide	1	1	yes	2	0x0011F0E0 0x00125FD0
VeterancyGainCreate	ABSENT	VeterancyGainCreate	0	0	yes	0	
W3DBuffDraw	REGISTERED	W3DBuffDraw	2	1	no	2	0x006BF7A0 0x006BF820
W3DDebrisDraw	REGISTERED	W3DDebrisDraw	1	1	yes	2	0x00113BE0 0x006BEF40
W3DDefaultDraw	REGISTERED	W3DDefaultDraw	2	2	yes	1	0x006BEFC0
W3DDependencyModelDraw	ABSENT	W3DDependencyModelDraw	0	0	yes	1	0x00118990
W3DFloorDraw	REGISTERED	W3DFloorDraw	2	1	no	2	0x006BF9C0 0x006BFA40
W3DHordeModelDraw	REGISTERED	W3DHordeModelDraw	2	1	no	2	0x006BFBE0 0x006BFC60
W3DLaserDraw	REGISTERED	W3DLaserDraw	1	1	yes	2	0x00114320 0x006BF150
W3DLightDraw	REGISTERED	W3DLightDraw	1	1	no	1	0x006BFB50
W3DModelDraw	ABSENT	W3DModelDraw	0	0	yes	1	0x0011F9C0
W3DOverlordAircraftDraw	ABSENT	W3DOverlordAircraftDraw	0	0	yes	1	0x0011F9C0
W3DOverlordTankDraw	ABSENT	W3DOverlordTankDraw	0	0	yes	1	0x0011E130
W3DOverlordTruckDraw	ABSENT	W3DOverlordTruckDraw	0	0	yes	0	
W3DPoliceCarDraw	UNREGISTERED_NAMED	W3DPoliceCarDraw	2	1	yes	0	
W3DProjectileStreamDraw	ABSENT	W3DProjectileStreamDraw	0	0	yes	2	0x00118AA0 0x001194C0
W3DPropDraw	REGISTERED	W3DPropDraw	1	1	yes	2	0x00114B50 0x006BF8B0
W3DQuadrupedDraw	REGISTERED	W3DQuadrupedDraw	1	1	no	2	0x006BF260 0x006BFEB0
W3DRopeDraw	REGISTERED	W3DRopeDraw	2	1	yes	2	0x00113BE0 0x006BF2E0
W3DScienceModelDraw	ABSENT	W3DScienceModelDraw	0	0	yes	1	0x00118990
W3DScriptedModelDraw	REGISTERED	W3DScriptedModelDraw	2	1	no	2	0x006BF040 0x006BF0C0
W3DStreakDraw	REGISTERED	W3DStreakDraw	1	1	no	2	0x006BFCF0 0x006BFD70
W3DSupplyDraw	REGISTERED	W3DSupplyDraw	1	1	yes	2	0x006BF360 0x006BF3E0
W3DTankDraw	REGISTERED	W3DTankDraw	1	1	yes	2	0x006BF580 0x006BF600
W3DTankTruckDraw	ABSENT	W3DTankTruckDraw	0	0	yes	0	
W3DTracerDraw	ABSENT	W3DTracerDraw	0	0	yes	1	0x00114200
W3DTreeDraw	REGISTERED	W3DTreeDraw	2	1	yes	2	0x006BF690 0x006BF710
W3DTruckDraw	REGISTERED	W3DTruckDraw	1	1	yes	2	0x006BF470 0x006BF4F0
WallUpgradeUpdate	REGISTERED	WallUpgradeUpdate	1	1	no	1	0x0011C170
WanderAIUpdate	REGISTERED	WanderAIUpdate	3	1	yes	2	0x0011BE60 0x0011BEE0
WargBehavior	REGISTERED	WargBehavior	1	1	no	1	0x00115620
WaveGuideUpdate	ABSENT	WaveGuideUpdate	0	0	yes	0	
WeaponBonusUpdate	ABSENT	WeaponBonusUpdate	0	0	yes	1	0x006BFAD0
WeaponBonusUpgrade	REGISTERED	WeaponBonusUpgrade	1	1	yes	1	0x0011D850
WeaponChangeSpecialPowerModule	REGISTERED	WeaponChangeSpecialPowerModule	1	1	no	2	0x001203D0 0x00120450
WeaponFireSpecialAbilityUpdate	REGISTERED	WeaponFireSpecialAbilityUpdate	1	1	no	2	0x001193B0 0x00119430
WeaponModeSpecialPowerUpdate	REGISTERED	WeaponModeSpecialPowerUpdate	1	1	no	2	0x00119670 0x001196F0
WeaponSetSpecialAbilityUpdate	REGISTERED	WeaponSetSpecialAbilityUpdate	1	1	no	2	0x00119270 0x001192F0
WeaponSetUpgrade	REGISTERED	WeaponSetUpgrade	2	1	yes	1	0x0011D8D0
WorkerAIUpdate	REGISTERED	WorkerAIUpdate	4	2	yes	2	0x0011C060 0x0011C0E0
WoundArrowUpdate	REGISTERED	WoundArrowUpdate	1	1	no	2	0x00120F90 0x00121010
